Property name,Address,City,County,State,ZIP code,Latitude,Longitude,Housing Authority,,,,,,,
MAJOR BOWMAN TERRACE,203 Bowman Ter,Vincennes,Knox,IN,475911729,38.695122,-87.512132,Vincennes Housing Authority,,,,,,,
MAJOR BOWMAN TERRACE,203 Bowman Ter,Vincennes,Knox,IN,475911729,38.695122,-87.512132,Vincennes Housing Authority,,,,,,,
MAJOR BOWMAN TERRACE,203 Bowman Ter,Vincennes,Knox,IN,475911729,38.695122,-87.512132,Vincennes Housing Authority,,,,,,,
MAJOR BOWMAN TERRACE,203 Bowman Ter,Vincennes,Knox,IN,475911729,38.695122,-87.512132,Vincennes Housing Authority,,,,,,,
MAJOR BOWMAN TERRACE,203 Bowman Ter,Vincennes,Knox,IN,475911729,38.695122,-87.512132,Vincennes Housing Authority,,,,,,,
OLD FRENCH TOWNE,600 Nicholas St Apt 101,Vincennes,Knox,IN,475911078,38.674473,-87.533501,Vincennes Housing Authority,,,,,,,
OLD FRENCH TOWNE,600 Nicholas St Apt 101,Vincennes,Knox,IN,475911078,38.674473,-87.533501,Vincennes Housing Authority,,,,,,,
OLD FRENCH TOWNE,600 Nicholas St Apt 101,Vincennes,Knox,IN,475911078,38.674473,-87.533501,Vincennes Housing Authority,,,,,,,
OLD FRENCH TOWNE,600 Nicholas St Apt 101,Vincennes,Knox,IN,475911078,38.674473,-87.533501,Vincennes Housing Authority,,,,,,,
OLD FRENCH TOWNE,600 Nicholas St Apt 101,Vincennes,Knox,IN,475911078,38.674473,-87.533501,Vincennes Housing Authority,,,,,,,
PIANKENSHAW PLACE,501 Hart St,Vincennes,Knox,IN,475912103,38.680626,-87.524972,Vincennes Housing Authority,,,,,,,
PIANKENSHAW PLACE,501 Hart St,Vincennes,Knox,IN,475912103,38.680626,-87.524972,Vincennes Housing Authority,,,,,,,
PIANKENSHAW PLACE,501 Hart St,Vincennes,Knox,IN,475912103,38.680626,-87.524972,Vincennes Housing Authority,,,,,,,
PIANKENSHAW PLACE,501 Hart St,Vincennes,Knox,IN,475912103,38.680626,-87.524972,Vincennes Housing Authority,,,,,,,
PIANKENSHAW PLACE,501 Hart St,Vincennes,Knox,IN,475912103,38.680626,-87.524972,Vincennes Housing Authority,,,,,,,
PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,VINCENNES,Knox,IN,47591,38.6693,-87.5106,Vincennes Housing Authority,,,,,,,
