adult-education-locations,,,,,,,,,,,
Longitude,Latitude,County,Location,Program,Address,City,Zip Code,Phone,Email,Website,Hours of Operation
-87.151211,40.921326,Jasper,Jasper County Adult Learning Center,Jasper County Adult Learning Center - Rensselaer,1027 South College Av.,Rensselaer,47978,(219) 863-8591,jasperalc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations.html,"M & W 10 AM to 1 PM, T & Th 4 PM to 8 PM"
-87.275861,41.144062,Jasper,Jasper County Adult Learning Center,Jasper County Adult Learning Center - DeMotte,9991 W. 1200 N.,DeMotte,46310,(219) 863-9145,demottealc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations/jasper-county-adult-learning-center---demotte/posts/come-study-with-us-in-demotte--581.html,"T, Th & F 8:40 AM to 11:45 AM"
-87.315095,41.554882,Lake,Gary Area Career Center,Gary Area Career Center,1800 E. 35th Av.,Gary,46409,(219) 963-2085,,http://gary.mysdhc.org/,M-F 8:30AM to 3:30 PM
-87.5136,41.609787,Lake,Hammond Area Career Center,Hammond Area Career Center,5727 Sohl Av.,Hammond,46320,(219) 933-2419,,http://hammond.k12.in.us/departments/adult education,M-F 7:30AM to 4PM
-87.411324,41.549328,Lake,Lake Ridge Schools,Lake Ridge Schools,6111 W. Ridge Rd.,Gary,46408,(219) 989-7820,ssweeney@lakeridgeschools.net,http://lakeridge.k12.in.us,M-F 9AM to 12PM & 1PM to 4PM
-87.331019,41.495879,Lake,Merrillville Community Schools,Merrillville Community Schools,6701 Delaware St.,Merrillville,46410,(219) 650-5300,sgreen@mvsc.k12.in.us,http://www.mvsc.k12.in.us/adulteduc/,M-F 8AM to 3:30PM
-87.368456,41.404981,Lake,Crown Point Adult Learning Center,Crown Point Adult Learning Center,928-B S Court St.,Crown Point,46307,(219) 663-5465,crownpointalc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations.html,"T & TH 9AM to 3:30PM, M & W 5PM to 9PM"
-87.256499,41.533486,Lake,Hobart Adult Learning Center,Hobart Adult Learning Center,100 Main St.,Hobart,46342,(219) 942-2243,hobartalc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations.html,W & TH 12PM to 4PM
-87.419388,41.292708,Lake,Lowell Adult Learning Center,Lowell Adult Learning Center,151 North Fremont,Lowell,46356,(219) 696-6777,lowellalc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations.html,"M, W & TH 9AM to 3PM, T 1PM to 6PM"
-87.488216,41.490508,Lake,The Center of Workforce Innovations,Tri-Town Adult Learning Center,1515 Lincoln Highway,Schererville,46375,(219) 322-6700,tritownalc@innovativeworkforce.com,http://education.innovativeworkforce.com/locations.html,T & TH 8:30AM - 7:30PM
-87.494217,41.680483,Lake,School City of Whiting Adult ESL Program,Nathan Hale Elementary School,1831 Oliver St.,Whiting,46394,(219) 738-0237,,http://www.whiting.k12.in.us/domain/76,M-F 8AM to 4PM
-87.485508,41.639604,Lake,East Chicago Adult Education,East Chicago Central High School,1100 W. Columbus Dr.,East Chicago,46312,(219) 391-4000,,http://www.scec.k12.in.us,M-F 8AM to 4PM
-86.893563,41.709763,LaPorte,Michigan City Adult Education,A. K. Smith Career Center,812 Lafayette St.,Michigan City,46360,(219) 873-2122,charding@mcas.k12.in.us,http://educatemc.net/adulted,"M-F 8AM to 4PM, F 7AM to 3PM"
-87.436798,40.938441,Newton,Newton County Adult Learning Center,Newton County Adult Learning Center,4117 S 240 W,Morocco,47963,(219) 285-8005,,,
-87.213003,41.547965,Porter,Neighbors Educational Opportunities (NEO),The Portage Adult Learning Center,5201 U.S. Highway 6,Portage,46368,(219) 850-4448,info@neoadulted.org,http://newvistas.schoolwires.net/Page/171,M-TH 8:00AM - 7PM (Main); M-TH 9:00AM - 3:00PM and 5:00PM-8:30PM (Learning Center) Fridays 8:00AM-2:00PM
