ServiceSystem_Name,ServiceSystem_Description,ServiceSite_ServiceSite_Both,ServiceSystem_HoursOfOperation,ServiceSystem_Websiteurl,ServiceSystem_PhoneMain,ServiceCustom_MatchlistPhone1Note,ServiceSystem_EligibilityTextArea,ServiceSystem_ApplicationintakeProcess,ServiceSystem_DocumentsRequired,ServiceCustom_IsThereAFeeForTheService,ServiceSystem_FeeStructure
Food Pantry,Provides food to persons in need. Limited service area.,Catholic Charities Crisis,Mon 1pm and 5pm,,317-236-1512,,Living in Marion County-- With no other resources for food -- Not used this pantry during the past 30 days,Walk in; arrive by 1pm or 5pm on Monday; arriving up to 30 minutes early suggested.,"Proof of address (such as driver's license, current mail, or utility bill)",false,
Food Pantry,Provides food to persons in need. Occasionally has baby food. Limited service area.,Westminster Neighborhood Services - New York Street,Mon 9am-noon and Thurs 8:30am-11:30am,,317-632-9785,,"Living within boundaries: N-10th St., S-Southeastern Blvd., E-Rural St., W-Pine St./I-65/I-70 -- Limit 2 visits per month",Walk in to use the pantry; enter through glass door on New York Street.,Proof of address (such as recent utility bill),false,
Soup Kitchen,Serves a meal to persons within the program boundaries on the near east side of Marion County.,Westminster Neighborhood Services - New York Street,Mon 9am-noon; Thurs 10:am-11:15am,,317-632-9785,,Open,Walk in; enter through glass door on New York Street,Nothing required,false,
Senior Shopping Day,"Provides perishable and nonperishable food monthly to seniors, ages 55 and older. Limited service area.",Westminster Neighborhood Services - New York Street,Monthly 3rd Wed 9am-noon,,317-632-9785,,* Living in Marion County* Ages 55 or older,Walk in.,Photo ID,false,
Wheeler Mission Meal Programs,Provides a daily hot mid-day meal and evening meal to men. Meal tickets are distributed at specific times and are needed to receive a meal.,Wheeler Mission Shelter For Men,Mid-Day Meal:  Ticks Distributed: Mon-Sat 11am-12:30pm    Meal Served: Mon-Sat 11:45am-12:30pm  (No Sunday lunch)Evening Meal:    Ticks Distributed: Daily 3pm-4:30pm    Meal Served: Daily 4:45pm-5:30pm,,317-687-6795,1  Intake Coordinator,Men in need of a meal,Walk in during listed times for free meal ticket and meal.,Nothing needed,false,None
Meals For Women And Children,Provides a cold morning meal six days per week and a hot mid-day meal and evening meal daily to women with or without children who do not have food available. Women do not have to be shelter residents to receive meals. Men are not served at this location.,Wheeler Mission Center For Women And Children,Morning Meal: Mon-Fri 7:15am-7:30am; Sat 10:30am-11am     * Except Sun no breakfastMid-Day:  Mon-Fri 11:30am-noon; Sun 1pm-1:45pm Evening Meal: Daily 4:45pm-5:45pm,,317-687-3630,,"* Women, with and without children* In need of a meal",Walk in.,Nothing needed,false,None
Meal Site,Offers noon and evening meals on select days. Open to all in need.,Center For Men - Bloomington,Noon Meal: Mon-Sat noon-1pm Evening Meal: Mon-Fri 5:30pm-6:30pm,,812-333-1905,,Open,Walk in.,Nothing needed,false,None
Food Pantry,Provides a food pantry for area persons in need. Limited service area.,Central Christian Church,Monthly second and last Sat 10am-noon. Doors open at 9:45 am,www.indyccc.org,317-635-6397,,Living in Marion County,Walk in (use door Number 1) and sign in. Food pantry is in the basement community room.,Nothing needed,false,
Food Pantry,Provides food to persons in need. Open service area.,Chapel Rock Christian Church,Monthly 1st and 3rd Thurs 5:30pm-7pm,,317-767-4309,Food Pantry (Recording),Open,Walk in; use the Entrance 10 at the west side of building (facing Covenant Christian High School; please do not park at the high school.),Photo IDProof of current address such as recent mail (required at each visit),false,
Spice Of Life,Provides a sit-down evening meal twice per month open to all. No carryout is available.,Scott United Methodist Church,Monthly 4th Thurs 6pm-8pm,www.scottumet.org,317-925-1997,,Open,Walk in.,,false,
Meal Site,Provides a sit-down breakfast meal that is open to all.,Christ Church Cathedral,Sun 7am-8am,,317-636-4577,,Open,Walk in; enter through basement door.,Nothing needed,false,None
Popsie's Pantry,"Provides food, toiletries, and some household goods to persons in need. Clients make their own selections from available items. Kosher foods are available. Limited service area.",Jewish Family Services at The Albert and Sara Reuben Senior and Community Resource Center,By appointment,,317-259-6822,x 6,Limit one visit per month,"Call to schedule an appointment, usually within the next 2 business days. -- Same-day service is not available. -- First visit requires a short assessment with the Social Services Coordinator.",For first visit: Photo ID -- Proof of address,false,
Food Pantry,Provides perishable and nonperishable food to people in need. Limited service area. Accepts donations for the food pantry and other outreach programs.,Christ Church Apostolic,Pantry: 2nd and 4th Wed 1pm-2:30pm Appointment Line: Daily 9am-11pm,,317-255-8761,,* Living in zip code 46260 or 46268 -- Limited one visit per month,"Call for an appointment; leave name, address, and number of people in household. Accepts a limited number of walk-ins, however, people with appointments are served first.",State-issued photo ID -- Proof of address (recent utility bill or official piece of mail),false,
Food Pantry,Offers nonperishable food assistance to persons in need. Limited service area.,Promise Land Christian Community Church,Monthly 2nd and 4th Sat 11am-1pm,,317-924-0855,Main,Living in Marion County,Walk in. Doors close promptly at 1pm or before if food is gone.,First Visit:Photo ID for all adults in the householdProof of number of children in the household (such as documentation from the child's school)Proof of address (such as a recent utility bill or lease)After First Visit: Photo IDNote: Above documentation not required if client has a written referral from a social service     agency AND a photo ID.,false,
Social Groups For Seniors,"Provides daily activities and services for seniors. Options include recreation, education, field trips, and social events that support an independent lifestyle and enhance healthy living. A hot lunch is provided daily and transportation may be available for seniors in the area who do not use wheelchairs.",Christamore Court Apartments,Activities: Mon-Fri 9am-1pm ; Field trips: Vary; Lunch: Mon-Fri 11:30am-noon,,317-631-9113,,Age 55 or older; (focus is near west Indianapolis),Call or walk in to complete short intake form.,Photo ID -- Social security card -- Emergency contact information,true,$25 per calendar year
